Team,Game,Passing_Yards,SUM(PY),Passing_Yards_Against,SUM(PYA),Points,SUM(Points),Points_Against,SUM(Points_Against),Rushing_Yards,SUM(RY),Rushing_Yards_Against,SUM(RYA),Takeaways,SUM(Takeaways),Total_Yards,SUM(Total_Yards),Total_Yards_Against,SUM(Total_Yards_Against),Turnovers,SUM(Turnovers),Win/Loss/Tie,Conference,RZ_Conversion,Total_TDs,RZ_Chances
Buccaneers,14,304,3758,184,2723,23,247,34,288,92,1040,53,1683,1,13,396,4798,237,4406,4,18,6,NFC,0.5094,32,62
Buccaneers,15,281,4039,204,2927,19,266,16,304,115,1155,121,1804,3,16,396,5194,325,4731,2,20,7,NFC,0.5094,32,62
Buccaneers,16,411,4450,326,3253,30,296,24,328,67,1222,74,1878,3,19,478,5672,400,5131,1,21,8,NFC,0.5094,32,62
Buccaneers,17,136,4586,208,3461,17,313,30,358,86,1308,174,2052,1,20,222,5894,382,5513,1,22,8,NFC,0.5094,32,62
Falcons,1,215,215,234,234,26,26,27,27,201,201,151,151,1,1,416,416,385,385,2,2,0,NFC,0.5556,38,68
Falcons,2,171,386,272,506,27,53,31,58,90,291,65,216,3,4,261,677,337,722,3,5,0,NFC,0.5556,38,68
Falcons,3,207,593,308,814,27,80,23,81,179,470,112,328,1,5,386,1063,420,1142,2,7,1,NFC,0.5556,38,68
Falcons,4,131,724,226,1040,23,103,20,101,202,672,177,505,2,7,333,1396,403,1545,1,8,2,NFC,0.5556,38,68
Falcons,5,110,834,351,1391,15,118,21,122,151,823,69,574,0,7,261,1657,420,1965,0,8,2,NFC,0.5556,38,68
Falcons,6,121,955,296,1687,28,146,14,136,168,991,50,624,3,10,289,1946,346,2311,0,8,3,NFC,0.5556,38,68
Falcons,7,107,1062,459,2146,17,163,35,171,107,1098,78,702,0,10,214,2160,537,2848,0,8,3,NFC,0.5556,38,68
Falcons,8,239,1301,309,2455,37,200,34,205,167,1265,169,871,1,11,406,2566,478,3326,2,10,4,NFC,0.5556,38,68
Falcons,9,114,1415,245,2700,17,217,20,225,201,1466,91,962,2,13,315,2881,336,3662,2,12,4,NFC,0.5556,38,68
Falcons,10,153,1568,101,2801,15,232,25,250,138,1604,232,1194,0,13,291,3172,333,3995,1,13,4,NFC,0.5556,38,68
Falcons,11,131,1699,128,2929,27,259,24,274,149,1753,160,1354,1,14,280,3452,288,4283,2,15,5,NFC,0.5556,38,68
Falcons,12,165,1864,138,3067,13,272,19,293,167,1920,176,1530,1,15,332,3784,314,4597,1,16,5,NFC,0.5556,38,68
Falcons,13,160,2024,197,3264,16,288,19,312,146,2066,154,1684,0,15,306,4090,351,4948,1,17,5,NFC,0.5556,38,68
Falcons,14,89,2113,214,3478,18,306,21,333,231,2297,134,1818,1,16,320,4410,348,5296,1,18,5,NFC,0.5556,38,68
Falcons,15,212,2325,115,3593,9,315,17,350,115,2412,184,2002,0,16,327,4737,299,5595,1,19,5,NFC,0.5556,38,68
Falcons,16,166,2491,213,3806,20,335,19,369,132,2544,126,2128,0,16,298,5035,339,5934,1,20,6,NFC,0.5556,38,68
Falcons,17,208,2699,136,3942,30,365,17,386,174,2718,86,2214,1,17,382,5417,222,6156,1,21,7,NFC,0.5556,38,68
Panthers,1,207,207,138,138,24,24,26,26,54,54,217,217,0,0,261,261,355,355,1,1,0,NFC,0.5652,36,63
Panthers,2,129,336,162,300,16,40,19,45,146,200,103,320,0,0,275,536,265,620,2,3,0,NFC,0.5652,36,63
Panthers,3,148,484,342,642,22,62,14,59,145,345,84,404,3,3,293,829,426,1046,0,3,1,NFC,0.5652,36,63
Panthers,4,180,664,206,848,16,78,26,85,40,385,132,536,1,4,220,1049,338,1384,3,6,1,NFC,0.5652,36,63
Panthers,5,244,908,244,1092,15,93,37,122,64,449,153,689,1,5,308,1357,397,1781,1,7,1,NFC,0.5652,36,63
Panthers,6,110,1018,249,1341,10,103,24,146,93,542,111,800,1,6,203,1560,360,2141,1,8,1,NFC,0.5652,36,63
Panthers,7,170,1188,276,1617,21,124,3,149,173,715,46,846,0,6,343,1903,322,2463,0,8,2,NFC,0.5652,36,63
Panthers,8,309,1497,239,1856,34,158,37,186,169,884,167,1013,2,8,478,2381,406,2869,1,9,2,NFC,0.5652,36,63
Panthers,9,164,1661,223,2079,21,179,42,228,64,948,241,1254,0,8,228,2609,464,3333,3,12,2,NFC,0.5652,36,63
Panthers,10,101,1762,153,2232,25,204,15,243,232,1180,138,1392,1,9,333,2942,291,3624,0,12,3,NFC,0.5652,36,63
Panthers,11,169,1931,193,2425,3,207,13,256,36,1216,115,1507,1,10,205,3147,308,3932,3,15,3,NFC,0.5652,36,63
Panthers,12,164,2095,125,2550,23,230,10,266,185,1401,121,1628,2,12,349,3496,246,4178,1,16,4,NFC,0.5652,36,63
Panthers,13,105,2200,241,2791,30,260,24,290,223,1624,46,1674,2,14,328,3824,287,4465,0,16,5,NFC,0.5652,36,63
Panthers,14,188,2388,169,2960,16,276,24,314,21,1645,156,1830,0,14,209,4033,325,4790,0,16,5,NFC,0.5652,36,63
Panthers,15,250,2638,336,3296,37,313,23,337,320,1965,45,1875,1,15,570,4603,381,5171,0,16,6,NFC,0.5652,36,63
Panthers,16,326,2964,411,3707,24,337,30,367,74,2039,67,1942,1,16,400,5003,478,5649,3,19,6,NFC,0.5652,36,63
Panthers,17,32,2996,161,3868,10,347,7,374,171,2210,143,2085,1,17,203,5206,304,5953,2,21,7,NFC,0.5652,36,63
